Team,SF,G,HR,OBP,H,GIDP,SB
KAN,1,7,0,.267,7,1,1
GBO,1,6,1,.227,4,2,0
SAV,0,3,0,.250,3,0,0
KAN,0,39,2,.359,44,7,7
LEX,0,24,2,.258,19,2,1
ASH,5,137,14,.400,162,14,6
COL,5,106,13,.276,81,10,2
AUG,2,107,5,.277,82,6,25
LEX,4,132,9,.332,123,18,27
HAG,1,50,4,.338,48,8,1
LC,0,44,5,.413,41,2,1
HAG,2,91,4,.296,50,5,4
LC,4,129,4,.312,98,0,32
LWD,4,102,10,.380,98,5,1
AUG,8,123,0,.355,111,9,35
HAG,0,15,0,.322,10,0,1
HIC,5,112,4,.274,88,9,10
LC,5,116,12,.323,102,6,12
GVL,1,91,5,.342,90,3,33
HAG,0,1,0,--,0,0,0
GBO,2,111,13,.347,125,5,5
GBO,0,69,3,.357,68,3,2
LEX,0,10,1,.351,8,2,0
LWD,0,4,0,.400,5,0,0
CSC,0,27,1,.247,18,3,1
AUG,4,34,4,.273,24,1,7
SAV,0,1,0,.400,2,0,0
LC,0,10,1,.351,10,3,0
LWD,0,2,0,.200,1,0,0
LWD,6,127,3,.300,109,11,14
WV,5,103,3,.332,133,11,32
LWD,4,114,9,.382,129,10,22
HAG,0,38,0,.228,27,4,0
KAN,0,20,0,.278,13,5,3
ASH,0,31,2,.375,41,1,5
ROM,1,123,4,.311,113,3,10
ASH,1,94,11,.288,76,5,12
ROM,0,15,3,.220,10,1,0
GBO,1,71,6,.249,54,18,0
KAN,3,58,6,.332,55,5,4
ROM,2,76,4,.244,55,7,10
DEL,0,18,0,.219,2,2,3
AUG,2,123,17,.312,122,8,1
AUG,4,119,9,.329,115,12,11
LEX,2,61,12,.329,59,2,7
LWD,3,55,1,.357,55,4,2
COL,0,8,0,.154,1,2,0
GVL,0,16,0,.345,10,4,0
LEX,5,74,4,.282,51,8,0
AUG,0,26,5,.373,27,1,2
SAV,4,78,1,.280,65,3,4
CSC,3,134,4,.302,112,14,17
SAV,3,84,8,.314,79,9,14
HAG,0,58,2,.377,59,2,33
HAG,3,116,17,.327,109,6,1
HAG,0,23,2,.348,21,2,8
GBO,0,0,0,--,0,0,0
WV,3,104,10,.407,129,3,15
CSC,4,131,8,.356,125,10,12
KAN,4,123,14,.308,129,8,10
SAV,6,90,11,.316,85,8,2
AUG,8,117,15,.359,118,8,3
WV,0,34,4,.291,28,3,1
HAG,1,63,0,.300,47,4,28
GVL,0,1,0,.000,0,0,0
HAG,0,56,3,.297,37,6,1
ROM,1,19,0,.132,5,1,1
SAV,2,90,0,.292,66,7,16
HIC,1,36,0,.293,31,1,5
WV,2,137,13,.346,130,14,13
KAN,2,16,0,.408,26,3,0
CSC,4,96,11,.348,102,11,2
HIC,3,84,2,.312,72,8,1
CSC,0,31,1,.314,22,2,3
SAV,0,5,1,.364,5,0,0
COL,3,122,5,.361,132,7,45
GVL,1,35,2,.238,29,1,0
AUG,0,25,0,.344,24,0,4
ASH,0,16,0,.246,9,0,1
COL,0,15,0,.338,10,0,1
COL,2,55,3,.376,50,2,2
ASH,2,55,6,.264,40,2,1
SAV,0,1,0,--,0,0,0
ASH,2,121,6,.361,136,6,73
GBO,0,33,2,.230,21,0,0
KAN,1,41,0,.263,31,3,2
KAN,0,17,0,.294,8,2,0
HIC,4,127,12,.320,125,7,2
CSC,1,104,10,.344,122,8,3
GBO,6,79,19,.381,89,5,15
GVL,0,12,0,.222,6,0,0
GBO,1,116,10,.326,121,8,6
HIC,0,3,1,.667,6,0,0
WV,0,18,3,.275,12,1,0
ROM,0,118,1,.296,106,4,28
KAN,0,4,0,.000,0,0,0
GVL,4,92,1,.329,76,9,25
LWD,6,106,17,.331,90,9,5
ROM,0,1,0,--,0,0,0
HAG,1,16,1,.302,12,2,1
HAG,2,28,3,.307,31,5,0
SAV,0,9,0,.429,13,0,0
CSC,0,17,0,.373,17,4,0
COL,5,113,7,.292,101,14,7
KAN,0,26,2,.216,16,3,4
AUG,0,13,0,.289,8,0,3
LWD,0,129,4,.321,117,10,9
LWD,1,40,0,.258,29,4,2
CSC,0,2,0,.500,1,0,0
LC,1,39,1,.241,19,4,1
ROM,0,130,18,.378,155,9,5
DEL,1,119,11,.367,138,10,12
ROM,0,19,2,.394,11,0,2
KAN,0,21,0,.273,10,2,2
LC,0,11,1,.386,12,1,0
WV,0,47,1,.265,29,3,7
HAG,0,21,2,.337,24,1,2
GVL,2,97,4,.301,97,12,11
AUG,1,50,2,.309,47,1,15
SAV,0,32,1,.252,21,1,2
LC,6,122,8,.356,139,10,3
ROM,0,4,0,.438,5,0,3
COL,1,13,0,.269,12,2,0
DEL,0,12,0,.255,10,4,0
SAV,1,54,5,.347,61,2,1
CSC,1,132,17,.376,171,16,2
KAN,0,1,0,.500,0,0,0
WV,0,47,0,.294,37,3,16
HIC,1,52,2,.313,45,4,4
GBO,1,74,8,.305,54,6,4
DEL,0,7,0,.111,1,0,0
HAG,4,76,5,.404,79,2,17
GBO,0,51,2,.276,46,8,0
LWD,1,64,1,.229,36,5,10
KAN,3,78,12,.366,80,4,3
KAN,1,67,3,.301,46,5,2
DEL,2,77,3,.368,73,6,6
LC,1,40,1,.308,32,4,1
CSC,0,8,0,.385,4,0,0
LEX,0,13,1,.300,8,0,0
ROM,0,39,1,.275,29,0,6
HAG,1,87,6,.336,95,11,4
KAN,8,124,10,.355,119,8,11
DEL,1,49,0,.354,38,1,8
SAV,1,31,2,.252,22,2,1
AUG,0,29,0,.302,23,1,3
SAV,2,67,3,.252,42,3,2
GBO,3,125,39,.381,137,8,4
CSC,6,59,2,.291,37,3,9
KAN,0,10,2,.400,13,1,1
CSC,0,9,0,.400,3,0,0
AUG,6,121,3,.303,111,7,4
LC,4,113,11,.328,117,4,14
GBO,1,69,1,.340,49,5,0
LEX,2,87,2,.285,75,3,7
LEX,1,24,1,.315,17,2,0
