FGA,3PA,BPG,FTA,#,PPG,PF,FGM,FTM
52.6,19.2,4.2,15.1,292,67.1,15.9,24.6,10.9
56.5,18.8,3.8,22.1,139,77.2,17.9,26.7,16.3
51.7,16.6,5.1,20.9,159,67.0,17.7,22.9,15.4
54.2,15.0,3.8,23.2,36,66.5,19.8,22.9,15.7
53.1,19.6,4.0,19.1,65,61.6,19.2,21.2,12.8
55.8,19.4,2.3,13.7,300,65.5,15.8,24.7,9.2
55.6,18.4,3.8,19.6,18,64.8,20.4,22.7,13.7
55.5,21.8,3.2,20.3,62,72.4,19.3,24.7,14.9
52.7,19.1,3.6,19.5,11,64.8,20.8,22.4,13.8
56.1,16.1,4.3,15.1,287,62.8,16.1,23.5,10.8
51.5,12.9,3.8,20.3,318,64.8,15.4,24.1,12.4
62.3,22.2,3.0,18.6,40,76.9,19.7,28.1,13.0
56.3,17.7,4.1,18.6,121,66.3,18.2,24.4,12.2
52.3,15.9,2.6,18.0,10,62.8,20.8,22.2,12.9
58.1,17.6,1.5,18.7,20,64.8,20.4,23.1,13.2
54.8,18.7,4.5,20.2,279,69.9,16.2,24.2,15.0
52.2,17.4,3.5,19.8,59,59.9,19.4,20.3,13.2
55.4,20.8,2.8,20.4,178,74.6,17.5,26.0,14.8
51.8,17.6,3.2,21.7,162,65.4,17.7,22.2,15.4
52.3,20.6,2.6,17.9,277,74.4,16.3,26.2,13.6
51.3,16.4,2.3,12.8,171,49.7,17.6,18.5,7.5
56.3,17.6,2.4,19.5,110,64.8,18.5,22.6,13.7
57.1,20.4,1.2,23.9,85,74.1,18.8,24.9,16.9
50.8,16.8,3.8,18.7,193,64.7,17.3,23.0,12.7
54.3,21.4,2.5,18.9,251,70.3,16.7,24.8,13.4
61.9,22.7,3.0,20.3,217,80.4,17.1,28.1,15.8
49.7,13.1,4.1,18.1,111,56.8,18.5,20.9,11.2
58.9,19.4,4.0,19.6,199,70.5,17.3,24.5,14.6
54.0,17.5,3.3,19.0,112,65.6,18.4,23.4,12.8
54.4,22.1,3.6,19.8,278,62.7,16.3,21.1,13.5
55.5,19.6,4.5,20.3,138,69.7,17.9,24.5,14.2
54.6,22.7,3.7,16.2,173,66.2,17.6,23.8,10.7
54.0,14.1,3.8,22.3,13,70.7,20.5,24.9,15.5
51.8,19.0,3.5,15.5,219,61.1,17.1,21.5,11.7
59.5,13.2,3.7,24.5,43,71.8,19.6,25.5,16.5
58.3,18.5,3.0,18.3,33,69.3,19.8,25.1,12.9
59.3,18.7,3.5,20.8,254,76.1,16.7,27.2,15.4
56.0,12.4,4.8,23.1,192,66.2,17.3,23.1,16.4
58.7,24.0,1.8,18.8,132,63.6,18.0,21.5,13.1
54.7,19.9,2.2,17.3,290,62.3,16.0,22.1,11.6
51.7,18.1,3.4,26.1,74,67.9,19.1,21.5,18.8
51.7,15.4,2.2,17.6,210,62.8,17.2,22.4,12.4
58.0,21.1,4.4,19.9,128,74.5,18.1,26.4,14.4
55.2,17.6,5.0,24.7,96,68.7,18.7,22.6,17.7
47.5,16.0,4.2,23.2,325,68.3,15.2,22.6,16.8
54.1,16.1,5.5,22.5,147,68.7,17.8,24.0,15.4
60.8,17.5,2.5,21.6,84,77.1,18.9,27.8,15.7
52.9,17.3,4.5,20.8,240,75.7,16.8,26.8,15.0
52.8,14.0,3.0,17.4,204,63.7,17.2,23.2,12.2
58.2,24.1,3.6,18.4,190,67.6,17.4,23.8,11.9
56.0,20.4,3.1,24.6,179,68.6,17.5,22.7,16.8
61.0,16.2,4.2,19.3,72,71.4,19.1,26.5,13.6
52.1,16.4,1.7,18.4,19,54.0,20.4,18.7,12.0
55.1,17.7,3.3,20.6,222,68.9,17.1,23.6,15.7
54.2,15.8,4.2,19.8,144,63.3,17.8,22.6,12.7
57.2,19.7,5.8,21.3,234,71.3,16.9,24.9,15.0
52.7,14.2,3.5,21.6,241,68.1,16.8,24.1,15.7
53.9,17.4,4.6,19.8,208,65.2,17.2,22.7,13.9
54.7,19.9,4.5,21.9,340,70.8,14.0,24.8,14.1
54.6,22.5,2.6,20.2,47,70.9,19.6,23.6,15.1
57.5,15.8,2.9,17.9,137,68.8,17.9,25.5,12.8
55.0,19.4,3.4,19.9,317,73.1,15.4,25.4,14.7
52.1,19.1,4.4,21.9,60,62.1,19.4,21.0,14.4
57.6,17.0,2.8,17.3,232,71.5,17.0,26.6,12.1
48.7,16.4,4.2,21.9,236,60.8,16.9,19.9,15.2
54.2,18.6,2.9,21.4,76,69.1,19.0,23.3,15.6
53.0,18.9,1.7,17.6,213,64.8,17.2,22.5,12.8
55.2,18.5,4.4,22.5,73,71.5,19.1,24.2,16.8
52.2,12.5,5.5,24.1,329,67.3,15.0,23.8,15.8
51.5,20.0,2.6,20.5,305,67.1,15.7,22.7,14.6
55.5,18.3,3.7,19.7,270,67.3,16.5,23.5,14.0
52.1,14.3,4.8,20.7,205,66.1,17.2,22.9,15.6
52.8,22.2,1.7,16.6,189,70.0,17.4,24.8,11.8
52.2,17.1,1.3,16.4,114,60.0,18.4,22.3,9.5
57.9,24.2,3.9,17.9,134,68.5,18.0,23.8,13.0
59.3,21.2,3.8,19.8,90,70.8,18.8,25.4,12.4
52.1,18.3,3.0,16.0,105,60.9,18.6,22.0,10.8
55.9,19.9,1.7,18.7,98,73.2,18.7,25.8,13.9
53.8,14.2,4.0,20.2,191,69.2,17.4,25.4,13.5
56.8,13.4,4.7,17.7,263,67.2,16.5,25.2,12.7
60.5,15.6,2.9,23.5,56,75.3,19.5,26.4,17.2
57.3,19.9,2.5,22.6,27,63.0,20.1,21.2,14.6
56.8,19.5,4.8,18.6,117,74.1,18.3,26.7,13.0
56.4,19.9,2.3,20.8,6,63.8,21.1,21.8,13.6
60.7,14.5,3.3,19.6,25,64.2,20.2,24.2,12.0
57.1,15.2,5.1,17.1,126,65.7,18.1,24.3,11.8
58.5,21.2,5.2,20.9,71,73.0,19.1,25.4,15.1
55.4,16.1,6.7,21.9,250,75.2,16.7,26.6,16.1
52.3,16.9,3.0,22.2,99,67.1,18.7,22.5,16.2
57.7,16.2,4.0,16.2,198,60.3,17.3,22.6,10.5
55.4,16.9,5.5,22.2,75,68.5,19.1,24.3,14.5
54.2,21.1,3.1,15.2,309,69.1,15.6,24.8,11.4
57.9,13.3,4.5,19.4,146,66.2,17.8,24.6,12.7
53.3,16.3,2.4,20.7,293,64.7,15.9,22.1,15.0
57.5,18.6,4.0,19.4,266,70.2,16.5,25.5,12.6
58.4,25.0,5.7,18.7,116,69.2,18.4,24.2,12.3
53.2,16.3,2.9,17.0,295,59.0,15.9,22.2,9.9
57.6,17.4,4.1,18.8,23,64.4,20.3,23.2,12.7
55.9,22.1,2.7,18.3,118,76.8,18.3,27.5,13.4
53.2,20.9,5.7,19.2,344,67.2,13.1,23.3,13.4
52.2,18.2,1.4,17.7,161,59.6,17.7,21.2,11.8
55.5,16.5,3.8,20.8,30,60.4,19.9,21.4,12.9
51.9,16.8,3.3,23.9,141,67.0,17.9,22.4,16.8
54.4,16.5,3.0,19.6,78,63.4,19.0,22.3,13.0
57.8,17.8,3.4,21.3,258,73.0,16.6,26.1,14.7
59.6,18.1,3.3,19.5,48,65.0,19.5,23.6,12.3
51.9,21.2,2.4,17.0,332,66.7,14.6,23.0,12.9
53.7,15.2,3.4,20.8,248,58.5,16.8,20.6,13.0
55.6,17.4,2.7,20.2,77,73.9,19.0,26.6,14.0
55.1,17.6,3.8,17.7,339,70.0,14.1,25.5,12.5
51.0,12.9,2.8,21.1,188,65.2,17.4,23.3,14.1
51.2,16.1,4.1,22.3,239,66.3,16.9,22.8,15.1
60.9,14.7,3.6,20.2,328,74.4,15.0,27.5,14.6
57.5,18.1,3.8,21.4,109,71.3,18.5,25.1,14.7
53.0,16.0,4.8,17.5,289,61.5,16.0,22.5,11.5
54.2,17.4,2.2,21.7,93,67.3,18.8,23.8,14.5
57.0,15.6,4.0,21.9,172,71.6,17.6,25.5,15.4
56.7,17.6,4.8,23.6,229,70.1,17.0,23.8,17.2
56.1,20.2,4.5,24.9,64,69.0,19.3,24.0,14.9
55.3,17.1,4.8,22.5,61,65.6,19.3,22.8,14.9
54.4,24.7,2.2,18.4,58,73.9,19.4,25.4,14.4
50.0,17.5,2.5,15.7,249,61.2,16.8,22.2,10.4
52.9,16.2,2.1,17.8,163,62.9,17.7,22.6,11.9
