POS,AVG,2B,OPS,BB,SB,GIDP,SF
2B,0.295,23,0.883,38,13,6,4
SS,0.293,8,0.679,11,5,7,0
RF,0.208,2,0.685,2,0,0,1
C,0.288,6,0.92,10,0,0,1
SS,0.224,10,0.579,21,6,6,1
C,0.211,4,0.563,4,0,3,0
1B,0.236,20,0.689,32,8,5,4
3B,0.214,6,0.601,8,0,7,1
C,0.204,2,0.584,1,0,1,0
SS,0.135,5,0.395,8,1,1,1
C,0.254,16,0.672,20,11,9,4
CF,0.25,13,0.723,14,1,2,0
3B,0.304,31,0.772,24,5,7,4
RF,0.296,18,0.818,28,1,7,1
SS,0.161,1,0.381,1,0,0,0
RF,0.283,17,0.756,14,6,3,3
RF,0.248,30,0.832,48,1,7,1
RF,0.291,22,0.7,17,2,11,6
RF,0.275,20,0.756,36,3,7,3
3B,0.223,6,0.568,23,7,10,2
LF,0.293,31,0.778,53,14,7,4
C,0.176,1,0.576,4,0,0,0
3B,0.19,9,0.486,20,9,9,3
RF,0.234,8,0.656,20,1,9,2
SS,0.246,7,0.577,13,14,9,5
C,0.273,22,0.689,36,1,9,4
CF,0.266,23,0.674,30,11,6,4
RF,0.455,0,0.955,1,0,1,0
1B,0.186,3,0.516,7,0,0,1
LF,0.287,7,0.708,14,5,3,0
3B,0.317,14,0.842,22,3,6,1
SS,0.364,0,0.825,2,0,1,0
1B,0.222,16,0.696,48,1,4,6
1B,0.216,4,0.625,10,0,2,2
CF,0.223,18,0.593,47,21,21,1
C,0.236,25,0.627,43,0,10,4
1B,0.241,16,0.644,36,0,9,3
LF,0.277,10,0.786,36,14,10,4
RF,0.287,2,0.652,8,4,1,0
SS,0.217,13,0.588,24,0,10,1
LF,0.293,16,0.872,21,0,8,7
RF,0.231,10,0.756,20,0,3,2
CF,0.237,20,0.672,17,8,5,2
1B,0.083,1,0.25,0,0,0,0
RF,0.248,24,0.631,33,9,10,3
LF,0.148,2,0.401,1,0,0,0
LF,0.292,1,0.679,2,2,0,0
C,0.233,4,0.551,3,0,1,0
1B,0.215,8,0.621,15,1,4,0
C,0.0,0,0.0,0,0,0,0
